Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
39455,417069,Magic: The Gathering,Launch Party & Release Event Promos,Phyrexian Metamorph,,42,Promo,Near Mint,Foil,14.45,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/39455_in_200x200.jpg
91106,1229146,Magic: The Gathering,Magic 2015 (M15),"Urborg, Tomb of Yawgmoth",,248,Rare,Near Mint,Normal,60.34,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/91106_in_200x200.jpg
82733,1185611,Magic: The Gathering,Magic Modern Event Deck,City of Brass,,15,Rare,Near Mint,Normal,22.76,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/82733_in_200x200.jpg
490422,7047381,Magic: The Gathering,March of the Machine,"Etali, Primal Conqueror (Showcase)",,298,Rare,Near Mint,Foil,33.99,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/490422_in_200x200.jpg
11467,373110,Magic: The Gathering,Mirrodin,Chrome Mox,,152,Rare,Lightly Played,Normal,154.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/11467_in_200x200.jpg
11314,7679,Magic: The Gathering,Mirrodin,Isochron Scepter,,188,Uncommon,Near Mint,Normal,15.61,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/11314_in_200x200.jpg
39082,413951,Magic: The Gathering,Mirrodin Besieged,Blightsteel Colossus,,99,Mythic,Near Mint,Normal,37.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/39082_in_200x200.jpg
190748,4052604,Magic: The Gathering,Modern Horizons,Prismatic Vista,,244,Rare,Near Mint,Normal,37.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/190748_in_200x200.jpg
240045,4979305,Magic: The Gathering,Modern Horizons 2,"Yavimaya, Cradle of Growth",,261,Rare,Near Mint,Normal,15.41,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/240045_in_200x200.jpg
98506,2878237,Magic: The Gathering,Modern Masters 2015,"Kozilek, Butcher of Truth",,5,Mythic,Near Mint,Normal,41.00,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/98506_in_200x200.jpg
98645,2878601,Magic: The Gathering,Modern Masters 2015,Tezzeret the Seeker,,62,Mythic,Near Mint,Foil,42.66,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/98645_in_200x200.jpg
98507,2878247,Magic: The Gathering,Modern Masters 2015,"Ulamog, the Infinite Gyre",,6,Mythic,Near Mint,Normal,34.41,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/98507_in_200x200.jpg
128572,3316843,Magic: The Gathering,Modern Masters 2017,Craterhoof Behemoth,,122,Mythic,Near Mint,Normal,20.53,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/128572_in_200x200.jpg
128221,3315726,Magic: The Gathering,Modern Masters 2017,Marsh Flats,,239,Rare,Near Mint,Normal,32.08,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/128221_in_200x200.jpg
128281,3315902,Magic: The Gathering,Modern Masters 2017,Misty Rainforest,,240,Rare,Near Mint,Normal,37.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/128281_in_200x200.jpg
128282,3315912,Magic: The Gathering,Modern Masters 2017,Scalding Tarn,,244,Rare,Near Mint,Normal,39.51,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/128282_in_200x200.jpg
544936,7848501,Magic: The Gathering,Outlaws of Thunder Junction: The Big Score,Grand Abolisher,,2,Mythic,Near Mint,Normal,16.35,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/544936_in_200x200.jpg
216962,4482118,Magic: The Gathering,Promo Pack: Core Set 2021,Sigarda's Aid,,41,Rare,Near Mint,Normal,19.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/216962_in_200x200.jpg
7357,370104,Magic: The Gathering,Prophecy,Rhystic Study,,45,Common,Lightly Played,Normal,53.68,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/7357_in_200x200.jpg
66473,1043416,Magic: The Gathering,Return to Ravnica,Cyclonic Rift,,35,Rare,Near Mint,Normal,30.06,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/66473_in_200x200.jpg
36312,394049,Magic: The Gathering,Scars of Mirrodin,Contagion Engine,,145,Rare,Near Mint,Normal,14.29,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/36312_in_200x200.jpg
18849,117031,Magic: The Gathering,Shadowmoor,Wooded Bastion,,281,Rare,Near Mint,Normal,16.72,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/18849_in_200x200.jpg
27601,251716,Magic: The Gathering,Shards of Alara,Ad Nauseam,,63,Rare,Near Mint,Normal,25.65,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/27601_in_200x200.jpg
162752,3742879,Magic: The Gathering,Signature Spellbook: Jace,Mystical Tutor,,6,Rare,Near Mint,Normal,18.22,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/162752_in_200x200.jpg
5321,18832,Magic: The Gathering,Stronghold,Constant Mists,,,Uncommon,Near Mint,Normal,20.55,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/5321_in_200x200.jpg
5360,18871,Magic: The Gathering,Stronghold,Horn of Greed,,,Rare,Near Mint,Normal,19.70,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/5360_in_200x200.jpg
5615,19120,Magic: The Gathering,Tempest,Lotus Petal,,294,Common,Near Mint,Normal,35.67,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/5615_in_200x200.jpg
452655,6706606,Magic: The Gathering,The Brothers' War,Awaken the Woods,,170,Mythic,Near Mint,Normal,18.22,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/452655_in_200x200.jpg
451977,6678442,Magic: The Gathering,The Brothers' War: Retro Frame Artifacts,Unwinding Clock (Schematic),,124,Rare,Near Mint,Normal,19.42,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/451977_in_200x200.jpg
202858,4266662,Magic: The Gathering,The List Reprints,Aetherflux Reservoir,,192,Rare,Near Mint,Normal,25.96,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/202858_in_200x200.jpg
